Instrument,Company,CurrencyCode,ISIN,MinTradedQty,MarketName,MarketH
MVR,MelodyVR Group plc,GBX,GB00BD2YHN21,1,LSE AIM,7:00 am to 3:45 pm
MXCT,"MaxCyte, Inc.",GBX,US57777K1060,0.5,LSE AIM,7:01 am to 3:30 pm
MXIM,"Maxim Integrated Products, Inc.",USD,US57772K1016,2,NASDAQ,1:30 pm to 8:00 pm
MXL,"MaxLinear, Inc",USD,US57776J1007,2,NYSE,1:30 pm to 8:00 pm
MXWO,Invesco MSCI World UCITS ETF,USD,IE00B60SX394,0.01,London Stock Exchange,7:01 am to 3:30 pm
MYGN,"Myriad Genetics, Inc.",USD,US62855J1043,1,NASDAQ,1:30 pm to 8:00 pm
MYI,Murray International Trust PLC,GBX,GB0006111909,0.1,London Stock Exchange,7:01 am to 3:30 pm
MYL,Mylan Inc.,USD,NL0011031208,0.01,NASDAQ,1:30 pm to 8:00 pm
MYOK,"MyoKardia, Inc.",USD,US62857M1053,1,NASDAQ,1:30 pm to 8:00 pm
MYRK,MyHammer Holding AG,EUR,DE000A11QWW6,1,Deutsche Börse Xetra,7:00 am to 3:30 pm
NAK,Northern Dynasty Minerals Ltd.,USD,CA66510M2040,0.1,NYSE,1:30 pm to 8:00 pm
NANO,Nanoco Group PLC,GBX,GB00B01JLR99,5,London Stock Exchange,7:01 am to 3:30 pm
NARI,"Inari Medical, Inc.",USD,US45332Y1091,1,NASDAQ,1:30 pm to 8:00 pm
NASD,Lyxor Nasdaq-100 UCITS ETF - Acc,USD,LU1829221024,0.02,London Stock Exchange,7:01 am to 3:30 pm
NASL,Lyxor Nasdaq-100 UCITS ETF - Acc,GBX,LU1829221024,0.02,London Stock Exchange,7:01 am to 3:30 pm
NAT,Nordic American Tankers Limited,USD,BMG657731060,0.1,NYSE,1:30 pm to 8:00 pm
NATI,National Instruments Corporation,USD,US6365181022,2,NASDAQ,1:30 pm to 8:00 pm
NAVI,Navient,USD,US63938C1080,0.1,NASDAQ,1:30 pm to 8:00 pm
NBIX,"Neurocrine Biosciences, Inc.",USD,US64125C1099,0.01,NASDAQ,1:30 pm to 8:00 pm
NBL,Noble Energy Inc.,USD,US6550441058,0.1,NYSE,1:30 pm to 8:00 pm
NBY,NovaBay Pharmaceuticals,USD,US66987P2011,0.1,NYSE,1:30 pm to 8:00 pm
NC,"NACCO Industries, Inc.",USD,US6295791031,1,NYSE,1:30 pm to 8:00 pm
NCC,NCC Group PLC,GBX,GB00B01QGK86,1,London Stock Exchange,7:01 am to 3:30 pm
NCLH,"Norwegian Cruise Line Holdings, Ltd.",USD,BMG667211046,0.01,NYSE,1:30 pm to 8:00 pm
NCMI,"National CineMedia, Inc.",USD,US6353091076,0.1,NASDAQ,1:30 pm to 8:00 pm
NCNO,"nCino, Inc.",USD,US63947U1079,0.01,NASDAQ,1:30 pm to 8:00 pm
NCYT,Novacyt SA,GBX,FR0010397232,1,LSE AIM,7:00 am to 3:45 pm
NDA,Aurubis AG,EUR,DE0006766504,2,Deutsche Börse Xetra,7:00 am to 3:30 pm
NDAQ,"Nasdaq, Inc.",USD,US6311031081,0.001,NASDAQ,1:30 pm to 8:00 pm
NDX1,Nordex SE,EUR,DE000A0D6554,0.1,Deutsche Börse Xetra,7:00 am to 3:30 pm
NEE,NextEra Energy,USD,US65339F1012,0.001,NYSE,1:30 pm to 8:00 pm
NEM,Newmont Mining Corp.,USD,US6516391066,0.01,NYSE,1:30 pm to 8:00 pm
NEM,Nemetschek SE,EUR,DE0006452907,0.01,Deutsche Börse Xetra,7:00 am to 3:30 pm
NEO,"NeoGenomics, Inc.",USD,US64049M2098,1,NASDAQ,1:30 pm to 8:00 pm
NEOG,Neogen Corporation,USD,US6404911066,1,NASDAQ,1:30 pm to 8:00 pm
NEP,NextEra Energy Partners LP,USD,US65341B1061,0.01,NYSE,1:30 pm to 8:00 pm
NESN,Nestle SA,CHF,CH0038863350,0.001,SIX Swiss,7:00 am to 3:30 pm
NET,"Cloudflare, Inc.",USD,US18915M1071,0.01,NYSE,1:30 pm to 8:00 pm
NETE,Net Element Inc.,USD,US64111R3003,0.1,NASDAQ,1:30 pm to 8:00 pm
NEW,Puxin Ltd.,USD,US74704P1084,1,NON-ISA NYSE,1:30 pm to 8:00 pm
NEWAY,Neways Electronics International NV,EUR,NL0000440618,0.1,Euronext Netherlands,7:00 am to 3:30 pm
NEWR,"New Relic, Inc.",USD,US64829B1008,0.01,NYSE,1:30 pm to 8:00 pm
NEX,National Express Group PLC,GBX,GB0006215205,0.1,London Stock Exchange,7:01 am to 3:30 pm
NFC,Next Fifteen Communications Group plc,GBX,GB0030026057,0.1,LSE AIM,7:01 am to 3:30 pm
NFC,"Netflix, Inc.",EUR,US64110L1061,1,Deutsche Börse Xetra,7:00 am to 3:30 pm
NFIN,Netfin Acquisition Corp.,USD,KYG6455A1076,0.1,NASDAQ,1:30 pm to 8:00 pm
NFL2,Leverage Shares 2x Netflix ETP,USD,IE00BD09ZW40,1,London Stock Exchange,7:01 am to 3:30 pm
NFL3,Leverage Shares 3x Netflix ETP,USD,IE00BK5BZW43,1,London Stock Exchange,7:01 am to 3:30 pm
NFLE,Leverage Shares 2x Netflix ETP,EUR,IE00BD09ZW40,1,London Stock Exchange,7:01 am to 3:30 pm
NFLS,Leverage Shares -1x Netflix ETP,USD,IE00BKTWZ782,1,London Stock Exchange,7:01 am to 3:30 pm
NFLX,Netflix Inc.,USD,US64110L1061,0.001,NASDAQ,1:30 pm to 8:00 pm
NG,"NovaGold Resources, Inc.",USD,CA66987E2069,0.1,NYSE,1:30 pm to 8:00 pm
NG,National Grid PLC,GBX,GB00BDR05C01,0.1,London Stock Exchange,7:01 am to 3:30 pm
NGM,"NGM Biopharmaceuticals, Inc.",USD,US62921N1054,1,NASDAQ,1:30 pm to 8:00 pm
NGS,"Natural Gas Services Group, Inc.",USD,US63886Q1094,0.1,NYSE,1:30 pm to 8:00 pm
NH,"NantHealth, Inc.",USD,US6301041074,0.1,NASDAQ,1:30 pm to 8:00 pm
NI,NiSource Inc.,USD,US65473P1057,2,NYSE,1:30 pm to 8:00 pm
NICE,Nice Ltd ADR,USD,US6536561086,1,NON-ISA NASDAQ,1:30 pm to 8:00 pm
NICL,Nichols PLC,GBX,GB0006389398,0.01,LSE AIM,7:01 am to 3:30 pm
NIO,NIO Inc,USD,US62914V1061,1,NON-ISA NYSE,1:30 pm to 8:00 pm
