Instrument,Company,MinTradedQty,MarginRetail,MarginProfessional,LongPosSwap,ShortPosSwap,MarketH
AEM,Agnico Eagle Mines Ltd,5,20%,10%,-0.026875,-0.025422,1:30 pm to 8:00 pm
AENA,Aena SME SA,5,20%,20%,-0.031028,-0.023757,7:00 am to 3:30 pm
AEO,American Eagle Outfitters Inc,20,20%,10%,-0.003589,-0.003071,1:30 pm to 8:00 pm
AEP,American Electric Power Company Inc,10,20%,20%,-0.020187,-0.017275,1:30 pm to 8:00 pm
AER,AerCap Holdings N.V.,10,20%,20%,-0.005779,-0.004945,1:30 pm to 8:00 pm
AES,The AES Corporation,40,20%,10%,-0.004501,-0.003852,1:30 pm to 8:00 pm
AFL,AFLAC Inc.,10,20%,20%,-0.008941,-0.007651,1:30 pm to 8:00 pm
AGCO,Agco Corporation,10,20%,20%,-0.017892,-0.015311,1:30 pm to 8:00 pm
AGK,Aggreko PLC,1,20%,5%,-0.000914,-0.000766,7:01 am to 3:30 pm
AGL,Autogrill SpA,1,20%,5%,-0.001054,-0.000807,7:01 am to 3:30 pm
AGL,AGL Energy Ltd.,30,20%,20%,-0.003664,-0.003264,12:00 am to 6:00 am
AGNC,AGNC Investment Corp,1,20%,5%,-0.003365,-0.002859,1:30 pm to 8:00 pm
AGO,Assured Guaranty Ltd.,20,20%,10%,-0.005072,-0.004340,1:30 pm to 8:00 pm
AGR,Assura plc,1,20%,10%,-0.000201,-0.000168,7:01 am to 3:30 pm
AGS,Ageas,10,20%,20%,-0.009216,-0.007057,7:00 am to 3:30 pm
AHT,Ashtead Group PLC,1,20%,5%,-0.007120,-0.005965,7:01 am to 3:30 pm
AI,AIR LIQUIDE SA,1,20%,5%,-0.036251,-0.027756,7:00 am to 3:30 pm
AIG,American International Group Inc.,10,20%,5%,-0.006774,-0.005796,1:30 pm to 8:00 pm
AIMT,"Aimmune Therapeutics, Inc.",1,20%,5%,-0.008596,-0.008920,1:30 pm to 8:00 pm
AIR,Airbus Group NV,1,20%,5%,-0.015844,-0.009042,7:00 am to 3:30 pm
AIRF,Air France KLM SA,100,20%,10%,-0.000790,-0.000605,7:00 am to 3:30 pm
AIV,Apartment Investment and Management Company,10,20%,20%,-0.008481,-0.007257,1:30 pm to 8:00 pm
AIXA,Aixtron SE,1,10%,10%,-0.002972,-0.002098,10:01 pm to 8:00 pm
AIZ,Assurant,5,20%,10%,-0.029481,-0.025228,1:30 pm to 8:00 pm
AJB,AJ Bell plc,1,20%,5%,-0.001134,-0.000950,7:01 am to 3:30 pm
AJG,Arthur J. Gallagher & Co.,10,20%,20%,-0.025777,-0.022058,1:30 pm to 8:00 pm
AKAM,"Akamai Technologies, Inc.",10,20%,10%,-0.027892,-0.023868,1:30 pm to 8:00 pm
AKE,Arkema S.A.,5,20%,10%,-0.024298,-0.018604,7:00 am to 3:30 pm
AKZA,AkzoNobel N.V.,10,20%,20%,-0.022638,-0.017334,7:00 am to 3:30 pm
ALB,Albemarle Corp,5,20%,10%,-0.021155,-0.018102,1:30 pm to 8:00 pm
ALC,Alcon AG,5,20%,5%,-0.014098,-0.012064,1:30 pm to 8:00 pm
ALD,Ampol Limited,1,20%,5%,-0.006016,-0.005360,12:00 am to 6:00 am
ALFA,Alfa Laval AB,20,20%,20%,-0.047905,-0.048459,7:00 am to 3:25 pm
ALGN,Align Technology Inc,5,20%,10%,-0.079572,-0.068091,1:30 pm to 8:00 pm
ALIV,Autoliv Inc. SDB,5,20%,20%,-0.151279,-0.153028,7:00 am to 3:25 pm
ALK,"Alaska Air Group, Inc.",2,20%,20%,-0.009184,-0.007859,1:30 pm to 8:00 pm
ALKS,Alkermes plc,10,20%,20%,-0.004188,-0.003584,1:30 pm to 8:00 pm
ALL,Aristocrat Leisure Ltd.,20,20%,20%,-0.007720,-0.006877,12:00 am to 6:00 am
ALL,Allstate Corporation,5,20%,20%,-0.022852,-0.019554,1:30 pm to 8:00 pm
ALLE,Allegion plc,10,20%,20%,-0.024336,-0.020824,1:30 pm to 8:00 pm
ALM,Almirall SA,40,20%,20%,-0.002687,-0.002057,7:00 am to 3:30 pm
ALNY,Alnylam Pharmaceuticals Inc,5,20%,20%,-0.034617,-0.029622,1:30 pm to 8:00 pm
ALO,ALSTOM SA,20,20%,10%,-0.011622,-0.008899,7:00 am to 3:30 pm
ALQ,ALS Ltd.,100,20%,20%,-0.002318,-0.002065,12:00 am to 6:00 am
ALRS,AK Alrosa PAO,1,20%,5%,-0.032773,-0.002979,7:00 am to 4:00 pm
ALSN,Allison Transmission Holdings Inc.,10,20%,10%,-0.008483,-0.007259,1:30 pm to 8:00 pm
ALV,Allianz SE,5,20%,10%,-0.043685,-0.033448,7:00 am to 3:30 pm
ALXN,Alexion Pharmaceuticals Inc,5,20%,20%,-0.028646,-0.024512,1:30 pm to 8:00 pm
AMAT,"Applied Materials, Inc.",30,20%,5%,-0.014572,-0.012470,1:30 pm to 8:00 pm
AMC,Amcor Ltd.,50,20%,20%,-0.003838,-0.003419,12:00 am to 6:00 am
AMCI,AMCI Acquisition Corp.,1,20%,5%,-0.002492,-0.001541,1:30 pm to 8:00 pm
AMCX,AMC Networks Inc,10,20%,10%,-0.006057,-0.005183,1:30 pm to 8:00 pm
AMD,Advanced Micro Devices Inc.,5,20%,10%,-0.023059,-0.016693,8:00 am to 12:00 am
AME,"AMETEK, Inc.",10,20%,20%,-0.024397,-0.020877,1:30 pm to 8:00 pm
AMGN,Amgen Inc,5,20%,10%,-0.061014,-0.052211,1:30 pm to 8:00 pm
AMGO,Amigo Holdings plc,1,20%,5%,-0.000028,-0.000023,7:01 am to 3:30 pm
AMH,American Homes 4 Rent,30,20%,20%,-0.006929,-0.005929,1:30 pm to 8:00 pm
AML,Aston Martin Lagonda Global Holdings Plc,1,20%,5%,-0.000121,-0.000086,7:01 am to 3:30 pm
AMP,AMP Ltd.,300,20%,20%,-0.000342,-0.000305,12:00 am to 6:00 am
AMP,Amplifon SpA,1,20%,5%,-0.007811,-0.005981,7:01 am to 3:30 pm
AMP,"Ameriprise Financial Services, Inc.",5,20%,20%,-0.036727,-0.031428,1:30 pm to 8:00 pm
AMS,Amadeus IT Holding SA,10,20%,10%,-0.012230,-0.009364,7:00 am to 3:30 pm
AMS,AMS AG,10,20%,10%,-0.004107,-0.004779,7:00 am to 3:30 pm
AMT,American Tower Corporation,5,20%,20%,-0.060027,-0.051366,1:30 pm to 8:00 pm
AMTD,TD Ameritrade Holding Corporation,10,20%,20%,-0.009467,-0.008101,1:30 pm to 8:00 pm
AMWL,American Well Corp.,1,20%,5%,-0.007783,-0.006181,1:30 pm to 8:00 pm
AMZN,"Amazon.com, Inc",0.01,20%,5%,-0.829365,-0.631693,8:00 am to 12:00 am
AN,Autonation Inc.,10,20%,20%,-0.012986,-0.011112,1:30 pm to 8:00 pm
ANA,Acciona SA,10,20%,20%,-0.024967,-0.019116,7:00 am to 3:30 pm
ANDR,Andritz AG,10,20%,20%,-0.007416,-0.005679,7:00 am to 3:30 pm
ANET,Arista Networks,5,20%,10%,-0.050196,-0.042953,1:30 pm to 8:00 pm
ANF,Abercrombie & Fitch Company,20,20%,10%,-0.003658,-0.003130,1:30 pm to 8:00 pm
ANN,Ansell Ltd.,30,20%,20%,-0.009353,-0.008332,12:00 am to 6:00 am
ANPC,"AnPac Bio-Medical Science Co., Ltd.",1,20%,5%,-0.002424,-0.001097,1:30 pm to 8:00 pm
ANSS,"ANSYS, Inc.",5,20%,20%,-0.078118,-0.066847,1:30 pm to 8:00 pm
ANTM,Anthem Inc.,5,20%,20%,-0.063876,-0.054660,1:30 pm to 8:00 pm
ANTO,Antofagasta plc,1,20%,5%,-0.002675,-0.002241,7:01 am to 3:30 pm
ANZ,Australia and New Zealand Banking Group Ltd.,10,20%,5%,-0.004556,-0.004058,12:00 am to 6:00 am
AON,Aon plc,5,20%,20%,-0.049163,-0.042070,1:30 pm to 8:00 pm
AOS,A.O. Smith Corporation,10,20%,20%,-0.013058,-0.011174,1:30 pm to 8:00 pm
AOX,Alstria Office REIT-AG,1,20%,10%,-0.003233,-0.002475,7:00 am to 3:30 pm
APA,Apache Corporation,10,20%,10%,-0.002464,-0.002108,1:30 pm to 8:00 pm
APA,APA Group,100,20%,20%,-0.002776,-0.002473,12:00 am to 6:00 am
APAM,Aperam S.A.,1,20%,10%,-0.006139,-0.004701,7:00 am to 3:30 pm
APD,Air Products and Chemicals Inc.,5,20%,20%,-0.072729,-0.062236,1:30 pm to 8:00 pm
APH,Amphenol Corporation,10,20%,20%,-0.026444,-0.022629,1:30 pm to 8:00 pm
APHA,Aphria Inc,30,20%,5%,-0.001458,-0.005210,1:30 pm to 8:00 pm
APPS,"Digital Turbine, Inc.",10,20%,5%,-0.007603,-0.006506,1:30 pm to 8:00 pm
APTV,Aptiv PLC,5,20%,5%,-0.021630,-0.018509,1:30 pm to 8:00 pm
AR,Antero Resources Corp,30,20%,10%,-0.000745,-0.000637,1:30 pm to 8:00 pm
ARCAD,ARCADIS NV,30,20%,20%,-0.004754,-0.003640,7:00 am to 3:30 pm
ARCC,Ares Capital Corporation,30,20%,20%,-0.003428,-0.002933,1:30 pm to 8:00 pm
ARE,"Alexandria Real Estate Equities, Inc.",5,20%,20%,-0.039668,-0.033944,1:30 pm to 8:00 pm
ARL,Aareal Bank AG,1,20%,5%,-0.004471,-0.003423,7:00 am to 3:30 pm
ARNA,"Arena Pharmaceuticals, Inc.",5,20%,5%,-0.019752,-0.039606,1:30 pm to 8:00 pm
ARW,Arrow Electronics Inc.,10,20%,20%,-0.019519,-0.016703,1:30 pm to 8:00 pm
ARYN,Aryzta AG,1,20%,5%,-0.000128,-0.000148,7:00 am to 3:30 pm
ASH,Ashland Global holdings Inc,10,20%,10%,-0.017315,-0.014817,1:30 pm to 8:00 pm
ASHM,Ashmore Group PLC,1,20%,5%,-0.000878,-0.000735,7:01 am to 3:30 pm
ASM,ASM International N.V.,10,20%,20%,-0.032312,-0.024740,7:00 am to 3:30 pm
ASML,ASML Holding NV,2,20%,10%,-0.082800,-0.063397,7:00 am to 3:30 pm
ASNA,"Ascena Retail Group, Inc.",300,20%,10%,-0.000011,0.000011,1:30 pm to 8:00 pm
ASSAb,Assa Abloy AB Series B,30,20%,20%,-0.049701,-0.050276,7:00 am to 3:25 pm
AST,AusNet Services Ltd.,300,20%,20%,-0.000491,-0.000437,12:00 am to 6:00 am
ASX,ASX Ltd.,10,20%,20%,-0.021460,-0.019117,12:00 am to 6:00 am
AT1,Aroundtown SA,1,20%,5%,-0.001109,-0.000849,7:00 am to 3:30 pm
ATC,Altice NV,100,20%,20%,-0.001112,-0.000851,7:00 am to 3:30 pm
ATCOa,Atlas Copco AB,10,20%,10%,-0.100664,-0.101828,7:00 am to 3:25 pm
ATE,Alten SA,10,20%,10%,-0.021075,-0.016136,7:00 am to 3:30 pm
ATHA,Athira Pharma Inc.,1,20%,5%,-0.003919,-0.002424,1:30 pm to 8:00 pm
ATI,Allegheny Technologies Incorporated,20,20%,10%,-0.002341,-0.002004,1:30 pm to 8:00 pm
ATL,Atlantia SpA,1,20%,5%,-0.003643,-0.002790,7:01 am to 3:30 pm
ATO,Atos SA,5,20%,10%,-0.018606,-0.014246,7:00 am to 3:30 pm
ATO,Atmos Energy Corporation,10,20%,20%,-0.023840,-0.020400,1:30 pm to 8:00 pm
ATR,"AptarGroup, Inc.",5,20%,20%,-0.028056,-0.024008,1:30 pm to 8:00 pm
ATVI,"Activision Blizzard, Inc.",25,20%,5%,-0.020269,-0.017344,1:30 pm to 8:00 pm
AU,AngloGold Ashanti Ltd ADR,10,20%,10%,-0.006413,-0.005488,1:30 pm to 8:00 pm
AUY,Yamana Gold Inc.,300,20%,10%,-0.001405,-0.001203,1:30 pm to 8:00 pm
AV,Aviva plc,1,20%,5%,-0.000720,-0.000603,7:01 am to 3:30 pm
AVB,Avalonbay Communities Inc,5,20%,20%,-0.037050,-0.031704,1:30 pm to 8:00 pm
AVGO,Broadcom Inc,1,20%,5%,-0.089255,-0.076377,1:30 pm to 8:00 pm
AVNT,Avient Corp,1,20%,10%,-0.006719,-0.005749,1:30 pm to 8:00 pm
AVT,"Avnet, Inc.",20,20%,20%,-0.006373,-0.005454,1:30 pm to 8:00 pm
AVTR,"Avantor, Inc.",1,20%,5%,-0.003764,-0.002969,1:30 pm to 8:00 pm
AVY,Avery Dennison Corporation,5,20%,20%,-0.029859,-0.025551,1:30 pm to 8:00 pm
AWC,Alumina Ltd.,300,20%,20%,-0.000363,-0.000323,12:00 am to 6:00 am
AWK,American Water Works,10,20%,20%,-0.036084,-0.030877,1:30 pm to 8:00 pm
AXAS,Abraxas Petroleum Corporation,1,20%,5%,-0.000034,-0.000029,1:30 pm to 8:00 pm
AXE,Anixter International Inc,10,20%,20%,-0.024498,-0.020964,1:30 pm to 8:00 pm
AXP,American Express Co,5,20%,10%,-0.024127,-0.020646,8:00 am to 12:00 am
AXS,Axis Capital Holdings Ltd,10,20%,10%,-0.010742,-0.009192,1:30 pm to 8:00 pm
AXSM,"Axsome Therapeutics, Inc.",1,20%,5%,-0.022813,-0.020028,1:30 pm to 8:00 pm
AYI,"Acuity Brands, Inc.",5,20%,10%,-0.024331,-0.020820,1:30 pm to 8:00 pm
AZJ,Aurizon Holdings Ltd.,300,20%,20%,-0.001113,-0.000992,12:00 am to 6:00 am
AZM,Azimut Holding SpA,1,20%,5%,-0.004078,-0.003123,7:01 am to 3:30 pm
AZN,AstraZeneca plc,1,20%,5%,-0.021612,-0.018386,7:01 am to 3:30 pm
AZO,AutoZone Inc,1,20%,10%,-0.284739,-0.243655,1:30 pm to 8:00 pm
AZPN,Aspen Technology Inc.,5,20%,20%,-0.031997,-0.027380,1:30 pm to 8:00 pm
B4B,Metro AG,1,20%,5%,-0.002298,-0.001759,7:00 am to 3:30 pm
BA,Boeing Co.,1,20%,5%,-0.037524,-0.027547,8:00 am to 12:00 am
BA.,BAE Systems plc,1,20%,5%,-0.001264,-0.001059,7:01 am to 3:30 pm
BAB,Babcock International Group plc,1,20%,5%,-0.000575,-0.000481,7:01 am to 3:30 pm
BABA,Alibaba Group,2,20%,5%,-0.067837,-0.058049,8:00 am to 12:00 am
BAC,Bank of America Corporation,15,20%,5%,-0.005878,-0.005030,8:00 am to 12:00 am
BAER,Julius Baer Gruppe AG,10,20%,20%,-0.008212,-0.009554,7:00 am to 3:30 pm
BALN,Baloise Holding AG,5,20%,20%,-0.029514,-0.034341,7:00 am to 3:30 pm
BAMa,Brookfield Asset Management Inc,10,20%,5%,-0.011175,-0.010570,1:30 pm to 8:00 pm
BAMI,Banco Bpm SpA,1,20%,5%,-0.000372,-0.000285,7:01 am to 3:30 pm
BAMNB,Koninklijke BAM Groep N.V.,1,20%,10%,-0.000288,-0.000220,7:00 am to 3:30 pm
BAP,Credicorp,5,20%,20%,-0.030868,-0.026414,1:30 pm to 8:00 pm
BARC,Barclays plc,1,20%,5%,-0.000222,-0.000159,7:01 am to 3:30 pm
BAS,BASF SE,5,20%,10%,-0.013330,-0.010206,7:00 am to 3:30 pm
BATS,British American Tobacco plc,1,20%,5%,-0.007221,-0.006050,7:01 am to 3:30 pm
BAX,Baxter International Inc.,10,20%,20%,-0.019933,-0.017057,1:30 pm to 8:00 pm
BAYN,BAYER AG,5,20%,10%,-0.014417,-0.011038,7:00 am to 3:30 pm
BB,BlackBerry Limited,50,20%,5%,-0.001193,-0.001021,1:30 pm to 8:00 pm
