Instrument,Company,MinTradedQty,MarginRetail,MarginProfessional,LongPosSwap,ShortPosSwap,MarketH
DHR,Danaher Corporation,5,20%,20%,-0.051866,-0.044383,1:30 pm to 8:00 pm
DIA,DiaSorin SpA,1,20%,5%,-0.046015,-0.035232,7:01 am to 3:30 pm
DIE,D'ieteren SA,1,20%,20%,-0.014636,-0.011206,7:00 am to 3:30 pm
DIS,Walt Disney Co.,5,20%,5%,-0.088368,-0.026562,1:30 pm to 8:00 pm
DISCA,Discovery Inc Class A,20,20%,10%,-0.005337,-0.004567,1:30 pm to 8:00 pm
DISH,DISH Network Corporation,20,20%,20%,-0.007147,-0.006116,1:30 pm to 8:00 pm
DKNG,DraftKings Inc.,1,20%,5%,-0.013311,-0.011390,1:30 pm to 8:00 pm
DKS,"Dick's Sporting Goods, Inc.",20,20%,10%,-0.013986,-0.011968,1:30 pm to 8:00 pm
DKSH,DKSH Holding AG,10,20%,20%,-0.014012,-0.016303,7:00 am to 3:30 pm
DLB,"Dolby Laboratories, Inc.",10,20%,20%,-0.016267,-0.013920,1:30 pm to 8:00 pm
DLG,De'Longhi SpA,1,20%,5%,-0.007941,-0.006080,7:01 am to 3:30 pm
DLG,Direct Line Insurance Group PLC,1,20%,5%,-0.000702,-0.000588,7:01 am to 3:30 pm
DLG,Dialog Semiconductor plc,1,20%,5%,-0.009394,-0.007192,7:00 am to 3:30 pm
DLN,Derwent London PLC,1,20%,5%,-0.006033,-0.005055,7:01 am to 3:30 pm
DLPH,Delphi Technologies plc,10,20%,20%,-0.003953,-0.003383,1:30 pm to 8:00 pm
DLR,Digital Realty Trust Inc.,5,20%,20%,-0.035539,-0.030412,1:30 pm to 8:00 pm
DNB,DNB ASA,20,20%,10%,-0.036440,-0.023566,7:00 am to 2:20 pm
DNKN,Dunkin Brands Group. Inc.,10,20%,10%,-0.019853,-0.016989,1:30 pm to 8:00 pm
DO,Diamond Offshore Drilling Inc,30,20%,10%,-0.000017,0.000017,1:30 pm to 8:00 pm
DOCU,DocuSign Inc.,10,20%,20%,-0.053126,-0.045461,1:30 pm to 8:00 pm
DOL,"Dollarama, Inc.",1,20%,5%,-0.013010,-0.012307,1:30 pm to 8:00 pm
DOM,Domino's Pizza Group PLC,1,20%,5%,-0.000939,-0.000787,7:01 am to 3:30 pm
DOV,Dover Corporation,10,20%,10%,-0.027156,-0.023238,1:30 pm to 8:00 pm
DOW,Downer EDI Ltd.,100,20%,20%,-0.001106,-0.000985,12:00 am to 6:00 am
DOW,Dow Inc.,5,20%,5%,-0.011520,-0.009858,1:30 pm to 8:00 pm
DOX,Amdocs Limited,10,20%,20%,-0.014408,-0.012330,1:30 pm to 8:00 pm
DPW,Deutsche Post AG,20,20%,10%,-0.010262,-0.007858,7:00 am to 3:30 pm
DRE,Duke Realty Corporation,20,20%,20%,-0.009065,-0.007757,1:30 pm to 8:00 pm
DRI,1&1 Drillisch AG,1,20%,5%,-0.005092,-0.003899,7:00 am to 3:30 pm
DRQ,Dril-Quip Inc,10,20%,10%,-0.005893,-0.005043,1:30 pm to 8:00 pm
DRX,Drax Group PLC,1,20%,10%,-0.000666,-0.000558,7:01 am to 3:30 pm
DSV,DSV A/S,10,20%,20%,-0.212529,-0.273819,7:00 am to 3:00 pm
DSY,Dassault System SE,5,20%,10%,-0.042467,-0.032516,7:00 am to 3:30 pm
DTE,DTE Energy Company,5,20%,20%,-0.028711,-0.024568,1:30 pm to 8:00 pm
DTE,Deutsche Telekom AG,40,20%,10%,-0.003823,-0.002927,7:00 am to 3:30 pm
DUFN,Dufry AG,5,20%,20%,-0.006209,-0.007224,7:00 am to 3:30 pm
DUK,Duke Energy Corporation,10,20%,20%,-0.020640,-0.017662,1:30 pm to 8:00 pm
DVA,Davita Healthcare Partners Inc,10,20%,20%,-0.021000,-0.017970,1:30 pm to 8:00 pm
DVN,Devon Energy Corporation,1,20%,5%,-0.002206,-0.001888,1:30 pm to 8:00 pm
DWN,Deutsche Wohnen AG,1,20%,5%,-0.011408,-0.008735,7:00 am to 3:30 pm
DXC,DXC Technology Corporation,5,20%,20%,-0.004086,-0.003496,1:30 pm to 8:00 pm
DXS,Dexus Property Group,100,20%,20%,-0.002305,-0.002054,12:00 am to 6:00 am
DYN,Dyne Therapeutics Inc.,1,20%,5%,-0.005285,-0.003269,1:30 pm to 8:00 pm
EA,Electronic Arts Inc,5,20%,10%,-0.032835,-0.028098,1:30 pm to 8:00 pm
EAT,"Brinker International, Inc.",10,20%,10%,-0.011237,-0.009616,1:30 pm to 8:00 pm
EB,"Eventbrite, Inc Class A",1,20%,5%,-0.002584,-0.002211,1:30 pm to 8:00 pm
EBAY,eBay Inc.,10,20%,10%,-0.013136,-0.011241,1:30 pm to 8:00 pm
EBRO,Ebro Foods SA,1,20%,5%,-0.005388,-0.004125,7:00 am to 3:30 pm
ECL,Ecolab Inc,5,20%,20%,-0.049078,-0.041997,1:30 pm to 8:00 pm
ECM,Electrocomponents PLC,1,20%,5%,-0.001800,-0.001508,7:01 am to 3:30 pm
ECMPA,Eurocommercial Properties N.V.,1,20%,20%,-0.002381,-0.001823,7:00 am to 3:30 pm
ED,Consolidated Edison Inc.,10,20%,20%,-0.018964,-0.016227,1:30 pm to 8:00 pm
EDEN,Edenred SA,20,20%,10%,-0.010510,-0.008047,7:00 am to 3:30 pm
EDF,EDF SA,10,20%,10%,-0.002320,-0.001777,7:00 am to 3:30 pm
EDP,"Energias de Portugal, S.A.",1,20%,10%,-0.001219,-0.000861,7:00 am to 3:25 pm
EDPR,EDP Renovaveis,100,20%,20%,-0.003977,-0.002808,7:00 am to 3:25 pm
EEM,iShares MSCI Emerging Markets,1,20%,5%,-0.005544,-0.005187,1:30 pm to 8:00 pm
EFX,Equifax Inc.,5,20%,20%,-0.039151,-0.033502,1:30 pm to 8:00 pm
EGO,Eldorado Gold Corporation,50,20%,10%,-0.002529,-0.002164,1:30 pm to 8:00 pm
EHC,Encompass Health Corporation,10,20%,20%,-0.015661,-0.013401,1:30 pm to 8:00 pm
EIX,Edison International,10,20%,20%,-0.012924,-0.011060,1:30 pm to 8:00 pm
EKTAb,Elekta AB Series B,40,20%,20%,-0.026851,-0.027161,7:00 am to 3:25 pm
EL,EssilorLuxottica SA,5,20%,5%,-0.029217,-0.022371,7:00 am to 3:30 pm
EL,Estee Lauder Companies Inc,5,20%,20%,-0.053840,-0.046072,1:30 pm to 8:00 pm
ELE,Endesa SA,30,20%,20%,-0.006180,-0.004732,7:00 am to 3:30 pm
ELF,ELF Beauty Inc,1,20%,5%,-0.004586,-0.003925,1:30 pm to 8:00 pm
ELISA,Elisa Oyj,20,20%,20%,-0.013708,-0.010496,7:00 am to 3:30 pm
ELUXb,Electrolux AB Series B,20,20%,20%,-0.048248,-0.048806,7:00 am to 3:25 pm
EMG,Man Group PLC,1,20%,10%,-0.000295,-0.000247,7:01 am to 3:30 pm
EMN,Eastman Chemical Company,5,20%,20%,-0.019346,-0.016555,1:30 pm to 8:00 pm
EMR,Emerson Electric Company,10,20%,20%,-0.016099,-0.013776,1:30 pm to 8:00 pm
EMSN,EMS Chemie Holding,1,20%,20%,-0.182960,-0.212878,7:00 am to 3:30 pm
EN,BOUYGUES SA,15,20%,10%,-0.007873,-0.006028,7:00 am to 3:30 pm
ENB,Enbridge Inc,5,20%,10%,-0.010320,-0.009762,1:30 pm to 8:00 pm
ENB,"Enbridge, Inc.",1,20%,5%,-0.005124,-0.004041,1:30 pm to 8:00 pm
ENDP,Endo International plc,100,20%,10%,-0.000820,-0.000701,1:30 pm to 8:00 pm
ENEL,Enel SpA,1,20%,5%,-0.001977,-0.001514,7:01 am to 3:30 pm
ENG,Enagás SA,20,20%,20%,-0.005322,-0.004075,7:00 am to 3:30 pm
ENGI,ENGIE SA,1,20%,5%,-0.003005,-0.002301,7:00 am to 3:30 pm
ENI,ENI SpA,1,20%,5%,-0.001804,-0.001381,7:01 am to 3:30 pm
ENR,Energizer Holdings Inc,10,20%,10%,-0.009865,-0.008441,1:30 pm to 8:00 pm
ENS,Enersys,10,20%,20%,-0.016007,-0.013697,1:30 pm to 8:00 pm
EO,Faurecia SA,10,20%,10%,-0.009434,-0.007223,7:00 am to 3:30 pm
EOAN,E.ON AG,10,20%,5%,-0.002509,-0.001921,7:00 am to 3:30 pm
EOG,"EOG Resources, Inc.",1,20%,5%,-0.009374,-0.008022,1:30 pm to 8:00 pm
EPD,Enterprise Products Partners L.P.,20,20%,20%,-0.003881,-0.003321,1:30 pm to 8:00 pm
EQIX,Equinix Inc,1,20%,20%,-0.188084,-0.160946,1:30 pm to 8:00 pm
EQNR,Equinor ASA,10,20%,10%,-0.039828,-0.025758,7:00 am to 2:20 pm
EQR,Equity Residential,10,20%,20%,-0.012904,-0.011042,1:30 pm to 8:00 pm
EQT,Eqt Corporation,10,20%,10%,-0.003473,-0.002972,1:30 pm to 8:00 pm
ERF,Eurofins Scientific SE,1,20%,10%,-0.180275,-0.138032,7:00 am to 3:30 pm
ERG,ERG S.p.A.,1,20%,5%,-0.005673,-0.004344,7:01 am to 3:30 pm
ERICb,Telefonaktiebolaget LM Ericsson Class B,30,20%,20%,-0.022918,-0.023183,7:00 am to 3:25 pm
ERST,Erste Group Bank AG,10,20%,20%,-0.004754,-0.003640,7:00 am to 3:30 pm
ESNT,Essentra PLC,1,20%,5%,-0.000649,-0.000543,7:01 am to 3:30 pm
ESS,Essex Property Trust Inc.,5,20%,20%,-0.051083,-0.043712,1:30 pm to 8:00 pm
ESSC,East Stone Acquisition Corporation,1,20%,5%,-0.002062,-0.001461,1:30 pm to 8:00 pm
ET,Energy Transfers Partners,1,20%,5%,-0.001375,-0.001177,1:30 pm to 8:00 pm
ETFC,E-TRADE Financial Corporation,10,20%,10%,-0.012172,-0.010416,1:30 pm to 8:00 pm
ETL,Eutelsat Communications SA,1,20%,5%,-0.002228,-0.001706,7:00 am to 3:30 pm
ETN,Eaton Corporation plc,10,20%,20%,-0.025018,-0.021408,1:30 pm to 8:00 pm
ETSY,"Etsy, Inc.",5,20%,10%,-0.029604,-0.025333,1:30 pm to 8:00 pm
EUR,Eurocash SA,30,20%,20%,-0.003978,-0.002784,7:00 am to 2:45 pm
EVK,Evonik Industries AG,1,20%,5%,-0.005942,-0.004550,7:00 am to 3:30 pm
EVR,EVRAZ PLC,1,20%,5%,-0.000846,-0.000709,7:01 am to 3:30 pm
EVRG,"Evergy, Inc.",5,20%,5%,-0.012586,-0.010770,1:30 pm to 8:00 pm
EVT,Evotec AG,1,20%,5%,-0.005957,-0.004561,7:00 am to 3:30 pm
EW,Edwards Lifesciences Corp,1,20%,20%,-0.019378,-0.016582,1:30 pm to 8:00 pm
EWBC,East West Bancorp Inc,10,20%,20%,-0.007925,-0.006782,1:30 pm to 8:00 pm
EXAS,EXACT Sciences Corporation,10,20%,10%,-0.024443,-0.020917,1:30 pm to 8:00 pm
EXC,Exelon Corporation,20,20%,20%,-0.008891,-0.007608,1:30 pm to 8:00 pm
EXO,Exor NV,1,20%,5%,-0.012488,-0.009562,7:01 am to 3:30 pm
EXP,Eagle Materials Inc.,5,20%,10%,-0.020504,-0.017546,1:30 pm to 8:00 pm
EXPE,"Expedia, Inc.",5,20%,20%,-0.023417,-0.020039,1:30 pm to 8:00 pm
EXPN,Experian plc,1,20%,10%,-0.007598,-0.006366,7:01 am to 3:30 pm
EXR,Extra Space Storage Inc.,5,20%,20%,-0.026389,-0.022582,1:30 pm to 8:00 pm
EZJ,easyJet plc,1,20%,5%,-0.001180,-0.000843,7:01 am to 3:30 pm
FABG,Fabege AB,50,20%,20%,-0.029212,-0.029549,7:00 am to 3:25 pm
FAST,Fastenal Company,10,20%,10%,-0.011234,-0.009613,1:30 pm to 8:00 pm
FB,Facebook Inc.,1,20%,5%,-0.063796,-0.054591,8:00 am to 12:00 am
FBHS,Fortune Brands Home & Security Inc.,10,20%,10%,-0.020801,-0.017799,1:30 pm to 8:00 pm
FBU,Fletcher Building Ltd.,100,20%,20%,-0.000908,-0.000809,12:00 am to 6:00 am
FCAU,Fiat Chrysler Automobiles,5,20%,10%,-0.002997,-0.002565,1:30 pm to 8:00 pm
FCC,Fomento de Construcciones y Contratas S.A.,1,20%,10%,-0.002176,-0.001666,7:00 am to 3:30 pm
FCEL,"FuelCell Energy, Inc.",1,20%,5%,-0.000679,-0.000596,1:30 pm to 8:00 pm
FCX,Freeport-McMoRan Inc,15,20%,10%,-0.003828,-0.003276,1:30 pm to 8:00 pm
FDR,"Fluidra, S.A.",1,20%,5%,-0.003889,-0.002978,7:00 am to 3:30 pm
FDS,Factset Research Systems Inc.,5,20%,20%,-0.082185,-0.070327,1:30 pm to 8:00 pm
FDX,FedEx Corporation,5,20%,20%,-0.062625,-0.053589,1:30 pm to 8:00 pm
FE,FirstEnergy Corporation,20,20%,10%,-0.007159,-0.006126,1:30 pm to 8:00 pm
FER,Ferrovial,30,20%,20%,-0.005673,-0.004344,7:00 am to 3:30 pm
FERG,Ferguson PLC,1,20%,5%,-0.019330,-0.016195,7:01 am to 3:30 pm
FEYE,FireEye Inc,30,20%,10%,-0.003175,-0.002717,1:30 pm to 8:00 pm
FFH,Fairfax Financial Holdings Ltd,1,20%,10%,-0.096065,-0.090872,1:30 pm to 8:00 pm
FFIV,F5 Networks Inc.,5,20%,10%,-0.030026,-0.025694,1:30 pm to 8:00 pm
FGP,FirstGroup PLC,1,20%,5%,-0.000098,-0.000082,7:01 am to 3:30 pm
FGR,Eiffage SA,5,20%,10%,-0.018630,-0.014265,7:00 am to 3:30 pm
FHI,"Federated Hermes, Inc",1,20%,5%,-0.005210,-0.004458,1:30 pm to 8:00 pm
FHN,First Horizon National Corporational,30,20%,20%,-0.002204,-0.001886,1:30 pm to 8:00 pm
FI-N,Georg Fischer AG,1,20%,5%,-0.208246,-0.242299,7:00 am to 3:30 pm
FIS,Fidelity National Information Services Inc.,5,20%,20%,-0.036549,-0.031276,1:30 pm to 8:00 pm
FISV,"Fiserv, Inc.",1,20%,5%,-0.025561,-0.021873,1:30 pm to 8:00 pm
FIT,"Fitbit, Inc.",10,20%,10%,-0.001636,-0.001400,1:30 pm to 8:00 pm
FITB,Fifth Third Bancorp,20,20%,20%,-0.005122,-0.004383,1:30 pm to 8:00 pm
FL,"Foot Locker, Inc.",10,20%,10%,-0.008210,-0.007026,1:30 pm to 8:00 pm
FLEX,Flextronics International Ltd.,50,20%,10%,-0.002637,-0.002256,1:30 pm to 8:00 pm
FLO,Flowers Foods Inc,30,20%,20%,-0.005940,-0.005083,1:30 pm to 8:00 pm
FLR,Fluor Corporation,10,20%,10%,-0.002399,-0.002053,1:30 pm to 8:00 pm
FLS,FLSmidth & Co. A/S,10,20%,20%,-0.037247,-0.047989,7:00 am to 3:00 pm
FLS,Flowserve Corporation,10,20%,10%,-0.006651,-0.005691,1:30 pm to 8:00 pm
FLT,Flight Centre Travel Group Ltd.,10,20%,20%,-0.003359,-0.002992,12:00 am to 6:00 am
FLTR,Flutter Entertainment PLC,1,20%,5%,-0.032414,-0.027157,7:01 am to 3:30 pm
FMC,FMC Corporation,5,20%,10%,-0.026388,-0.022581,1:30 pm to 8:00 pm
FME,Fresenius Medical Care AG & Co. KGaA St,10,20%,10%,-0.019271,-0.014755,7:00 am to 3:30 pm
FMG,Fortescue Metals Group Ltd.,300,20%,20%,-0.004038,-0.003597,12:00 am to 6:00 am
FNF,Fidelity National Financial Inc.,20,20%,20%,-0.007779,-0.006656,1:30 pm to 8:00 pm
FNTN,Freenet AG,1,20%,5%,-0.004734,-0.003625,7:00 am to 3:30 pm
FNV,Franco-Nevada Corp,5,20%,10%,-0.047695,-0.045117,1:30 pm to 8:00 pm
FORD,Ford Motor Company,30,20%,5%,-0.001633,-0.001423,8:00 am to 12:00 am
Fortum,Fortum Oyj,1,20%,5%,-0.004579,-0.003506,7:00 am to 3:30 pm
FOSL,Fossil Group Inc,1,20%,10%,-0.020326,-0.004945,1:30 pm to 8:00 pm
FOUR,"Shift4 Payments, Inc.",1,20%,5%,-0.007773,-0.006130,1:30 pm to 8:00 pm
FOXA,Fox Corp Class A,10,20%,5%,-0.006684,-0.005719,1:30 pm to 8:00 pm
FP,TOTAL SA,10,20%,10%,-0.007556,-0.005785,7:00 am to 3:30 pm
FPE,Fuchs Petrolub SE,1,20%,5%,-0.010949,-0.008383,7:00 am to 3:30 pm
FPH,Fisher & Paykel Healthcare Corporation Ltd.,50,20%,20%,-0.007864,-0.007005,12:00 am to 6:00 am
FR,Valeo SA,10,20%,10%,-0.007227,-0.005534,7:00 am to 3:30 pm
FRAS,FRASERS GROUP PLC,10,20%,5%,-0.000871,-0.000730,7:01 am to 3:30 pm
FRC,First Republic Bank,5,20%,20%,-0.026259,-0.022470,1:30 pm to 8:00 pm
FRE,Fresenius SE & Co. KGaA,5,20%,10%,-0.010203,-0.007812,7:00 am to 3:30 pm
FRES,Fresnillo PLC,1,20%,5%,-0.003051,-0.002556,7:01 am to 3:30 pm
FROG,Jfrog Ltd.,0.1,20%,5%,-0.018214,-0.011265,1:30 pm to 8:00 pm
FRT,Federal Realty Investment Trust,5,20%,20%,-0.018308,-0.015666,1:30 pm to 8:00 pm
FSLR,"First Solar, Inc.",10,20%,10%,-0.015776,-0.013500,1:30 pm to 8:00 pm
FSLY,"Fastly, Inc.",1,20%,5%,-0.022903,-0.019598,1:30 pm to 8:00 pm
FTI,TechnipFMC plc,20,20%,20%,-0.001515,-0.001297,1:30 pm to 8:00 pm
FTNT,"Fortinet, Inc.",10,20%,10%,-0.029247,-0.025028,1:30 pm to 8:00 pm
FTR,Frontier Communications Corp,50,20%,10%,-0.000004,0.000004,1:30 pm to 8:00 pm
FTS,Fortis Inc,10,20%,10%,-0.013821,-0.013074,1:30 pm to 8:00 pm
FUR,Fugro NV,1,20%,10%,-0.000886,-0.000639,7:00 am to 3:30 pm
FVRR,Fiverr International Ltd,1,20%,5%,-0.033944,-0.029046,1:30 pm to 8:00 pm
FXPO,Ferrexpo PLC,1,20%,5%,-0.000450,-0.000377,7:01 am to 3:30 pm
G,Assicurazioni Generali S.p.A.,1,20%,5%,-0.003110,-0.002381,7:01 am to 3:30 pm
G,Genpact Limited,20,20%,20%,-0.009544,-0.008167,1:30 pm to 8:00 pm
G1A,GEA Group AG,1,20%,10%,-0.007977,-0.006108,7:00 am to 3:30 pm
G24,Scout24 AG,1,20%,5%,-0.020325,-0.015562,7:00 am to 3:30 pm
GALP,Galp Energia Nom,30,20%,20%,-0.002286,-0.001614,7:00 am to 3:25 pm
GAM,GAM Holding AG,1,20%,5%,-0.000375,-0.000436,7:00 am to 3:30 pm
GAZP,Gazprom PAO,1,20%,5%,-0.077951,-0.007086,7:00 am to 4:00 pm
GBLB,Groupe Bruxelles Lambert SA,5,20%,20%,-0.020432,-0.015644,7:00 am to 3:30 pm
GD,General Dynamics Corporation,5,20%,20%,-0.034583,-0.029594,1:30 pm to 8:00 pm
GDDY,GoDaddy Inc.,10,20%,10%,-0.018913,-0.016185,1:30 pm to 8:00 pm
GDRX,"GoodRx Holdings, Inc.",1,20%,5%,-0.012534,-0.007752,1:30 pm to 8:00 pm
GDX,VanEck Vectors Gold Miners ETF,1,20%,5%,-0.004962,-0.004642,1:30 pm to 8:00 pm
GE,General Electric Co.,20,20%,10%,-0.001530,-0.001310,8:00 am to 12:00 am
GEBN,Geberit AG,1,20%,20%,-0.117925,-0.137208,7:00 am to 3:30 pm
GET,Getlink SE,1,20%,5%,-0.003020,-0.002313,7:00 am to 3:30 pm
GETIb,Getinge AB Series B,50,20%,20%,-0.046380,-0.046916,7:00 am to 3:25 pm
GFC,Gecina SA,5,20%,10%,-0.028460,-0.021791,7:00 am to 3:30 pm
GFL,"Gfl Environmental Holdings, Inc.",1,20%,5%,-0.005136,-0.004395,1:30 pm to 8:00 pm
GFS,G4S PLC,1,20%,5%,-0.000486,-0.000407,7:01 am to 3:30 pm
GGG,Graco Inc.,10,20%,20%,-0.015143,-0.012958,1:30 pm to 8:00 pm
GHIV,"Gores Holdings IV, Inc.",1,20%,5%,-0.001921,-0.001546,1:30 pm to 8:00 pm
GIB,"CGI, Inc",1,20%,5%,-0.023092,-0.021843,1:30 pm to 8:00 pm
GIK,"GigCapital3, Inc.",1,20%,5%,-0.002484,-0.002126,1:30 pm to 8:00 pm
GIL,Gildan Activewear Inc.,20,20%,20%,-0.005027,-0.004302,1:30 pm to 8:00 pm
GILD,"Gilead Sciences, Inc.",5,20%,10%,-0.015575,-0.013328,1:30 pm to 8:00 pm
GIS,"General Mills, Inc.",10,20%,10%,-0.014933,-0.012778,1:30 pm to 8:00 pm
GIVN,Givaudan,1,20%,20%,-0.871298,-1.013774,7:00 am to 3:30 pm
GL,"Globe Life, Inc.",10,20%,20%,-0.019642,-0.016808,1:30 pm to 8:00 pm
GLE,Societe Generale SA,1,20%,10%,-0.002938,-0.002250,7:00 am to 3:30 pm
GLEN,Glencore Xstrata plc,1,20%,5%,-0.000430,-0.000360,7:01 am to 3:30 pm
GLNG,Golar LNG Limited,20,20%,10%,-0.001698,-0.001453,1:30 pm to 8:00 pm
GLPI,Gaming and Leisure Properties,20,20%,20%,-0.009482,-0.008114,1:30 pm to 8:00 pm
GLW,Corning Incorporated,20,20%,20%,-0.007807,-0.006681,1:30 pm to 8:00 pm
GM,General Motors Company,15,20%,5%,-0.007259,-0.006212,1:30 pm to 8:00 pm
GMAB,Genmab A/S,5,20%,20%,-0.475719,-0.612909,7:00 am to 3:00 pm
GME,GameStop Corp,40,20%,10%,-0.002507,-0.002145,1:30 pm to 8:00 pm
GMG,Goodman Group,100,20%,20%,-0.004622,-0.004117,12:00 am to 6:00 am
GMKN,MMC Norilsk Nickel PJSC,1,20%,5%,-8.605208,-0.782292,7:00 am to 4:00 pm
GN,GN Store Nord A/S,20,20%,20%,-0.096860,-0.124793,7:00 am to 3:00 pm
GNC,GNC Holdings Inc,1,20%,5%,-0.000010,0.000010,1:30 pm to 8:00 pm
GNC,Greencore Group PLC,1,20%,5%,-0.000261,-0.000219,7:01 am to 3:30 pm
GNPX,"Genprex, Inc.",1,20%,5%,-0.000995,-0.008352,1:30 pm to 8:00 pm
GNUS,"Genius Brands International, Inc.",1,20%,20%,-0.000708,-0.004403,1:30 pm to 8:00 pm
GNW,"Genworth Financial, Inc.",300,20%,20%,-0.000770,-0.000659,1:30 pm to 8:00 pm
GOG,The Go-Ahead Group PLC,1,20%,5%,-0.001436,-0.001203,7:01 am to 3:30 pm
GOOG,Alphabet Inc,0.1,20%,5%,-0.361902,-0.309685,8:00 am to 12:00 am
GOOS,Canada Goose Holdings Inc,5,20%,5%,-0.005009,-0.003950,8:00 am to 12:00 am
GPC,Genuine Parts Company,5,20%,20%,-0.023551,-0.020153,1:30 pm to 8:00 pm
GPK,Graphic Packaging Holding Company,40,20%,20%,-0.003460,-0.002961,1:30 pm to 8:00 pm
GPN,Global Payments Inc.,5,20%,20%,-0.043797,-0.037478,1:30 pm to 8:00 pm
GPOR,Great Portland Estates PLC,1,20%,5%,-0.001421,-0.001190,7:01 am to 3:30 pm
GPOR,Gulfport Energy Corporation,1,20%,5%,-0.000132,-0.000109,1:30 pm to 8:00 pm
GPRO,GoPro Inc,10,20%,10%,-0.001077,-0.000922,1:30 pm to 8:00 pm
GPS,"The Gap, Inc.",20,20%,10%,-0.004076,-0.003488,1:30 pm to 8:00 pm
GRA,W.R. Grace and Company,10,20%,10%,-0.010360,-0.008865,1:30 pm to 8:00 pm
GRG,Greggs PLC,1,20%,10%,-0.002939,-0.002463,7:01 am to 3:30 pm
GRI,Grainger PLC,1,20%,5%,-0.000759,-0.000636,7:01 am to 3:30 pm
GRLS,Grifols SA,5,20%,20%,-0.006523,-0.004995,7:00 am to 3:30 pm
GRMN,Garmin Ltd.,10,20%,5%,-0.023416,-0.020037,1:30 pm to 8:00 pm
GRPN,Groupon Inc.,1,20%,5%,-0.005739,-0.004911,1:30 pm to 8:00 pm
GRUB,GrubHub Inc.,5,20%,10%,-0.018033,-0.015431,1:30 pm to 8:00 pm
GS,Goldman Sachs Group Inc.,5,20%,5%,-0.048745,-0.041712,8:00 am to 12:00 am
GSK,GlaxoSmithKline plc,1,20%,5%,-0.003790,-0.003176,7:01 am to 3:30 pm
GT,The Goodyear Tyre & Rubber Company,20,20%,10%,-0.001856,-0.001588,1:30 pm to 8:00 pm
GTT,Gaztransport et Technigaz SA,1,20%,5%,-0.021568,-0.016514,7:00 am to 3:30 pm
GTX,"Garrett Motion, Inc.",3,20%,5%,-0.000501,-0.000428,1:30 pm to 8:00 pm
GVC,GVC Holdings PLC,1,20%,20%,-0.002570,-0.002153,7:01 am to 3:30 pm
GVNV,GrandVision N.V.,1,20%,5%,-0.006406,-0.004905,7:00 am to 3:30 pm
GWA,GWA Group Ltd.,300,20%,20%,-0.000707,-0.000630,12:00 am to 6:00 am
GWO,Great-West Lifeco Inc,10,20%,10%,-0.006678,-0.006317,1:30 pm to 8:00 pm
GWPH,GW Pharmaceuticals plc ADR,2,20%,5%,-0.025138,-0.053986,1:30 pm to 8:00 pm
GYC,Grand City Properties S.A.,1,20%,10%,-0.005481,-0.004197,7:00 am to 3:30 pm
H,Hyatt Hotels Corporation,10,20%,20%,-0.013360,-0.011432,1:30 pm to 8:00 pm
HAIN,The Hain Celestial Group Inc.,20,20%,10%,-0.008303,-0.007105,1:30 pm to 8:00 pm
HAL,Halliburton Company,10,20%,10%,-0.003095,-0.002648,1:30 pm to 8:00 pm
HARP,"Harpoon Therapeutics, Inc.",1,20%,5%,-0.003715,-0.003156,1:30 pm to 8:00 pm
HAS,Hays PLC,1,20%,5%,-0.000280,-0.000235,7:01 am to 3:30 pm
HAS,Hasbro Inc,10,20%,10%,-0.019254,-0.016476,1:30 pm to 8:00 pm
HBAN,Huntington Bancshares Incorporated,30,20%,20%,-0.002206,-0.001888,1:30 pm to 8:00 pm
HBI,Hanesbrands Inc.,30,20%,10%,-0.003881,-0.003321,1:30 pm to 8:00 pm
HCA,"HCA Healthcare, Inc.",5,20%,20%,-0.030167,-0.025815,1:30 pm to 8:00 pm
HD,Home Depot Inc.,5,20%,10%,-0.067228,-0.057528,1:30 pm to 8:00 pm
HDD,Heidelberger Druckmaschinen AG,1,20%,10%,-0.000140,-0.000107,7:00 am to 3:30 pm
HEI,HeidelbergCement AG,10,20%,10%,-0.013549,-0.010374,7:00 am to 3:30 pm
HEIA,Heineken N.V.,5,20%,10%,-0.020128,-0.015411,7:00 am to 3:30 pm
HELN,Helvetia Holding AG,1,20%,20%,-0.016176,-0.018821,7:00 am to 3:30 pm
HEN3,Henkel AG & Co. KGaA Vz,5,20%,10%,-0.023320,-0.017855,7:00 am to 3:30 pm
HES,Hess Corporation,1,20%,5%,-0.010127,-0.008666,1:30 pm to 8:00 pm
HEXAb,Hexagon AB Series B,10,20%,20%,-0.155003,-0.156795,7:00 am to 3:25 pm
HEXO,Hexo Corp,1,20%,5%,-0.000213,-0.001027,1:30 pm to 8:00 pm
HFC,HollyFrontier Corporation,10,20%,10%,-0.005041,-0.004313,1:30 pm to 8:00 pm
HFD,Halfords Group PLC,1,20%,5%,-0.000472,-0.000395,7:01 am to 3:30 pm
HHC,Howard Hughes Corporation,5,20%,20%,-0.014430,-0.012348,1:30 pm to 8:00 pm
HIG,Hartford Financial Services Group,10,20%,20%,-0.008961,-0.007668,1:30 pm to 8:00 pm
HII,Huntington Ingalls Industries Inc,5,20%,10%,-0.035340,-0.030241,1:30 pm to 8:00 pm
HIK,Hikma Pharmaceuticals PLC,1,20%,5%,-0.006580,-0.005513,7:01 am to 3:30 pm
HIMX,Himax Technologies Inc,100,20%,10%,-0.000840,-0.000719,1:30 pm to 8:00 pm
